Year,Month,Snow precipitation rate,Rain precipitation rate,Average Surface Skin temperature,Wind speed,Total precipitation rate,Temperature,Snow precipitation rate_max,Snow precipitation rate_min,Rain precipitation rate_max,Rain precipitation rate_min,Average Surface Skin temperature_max,Average Surface Skin temperature_min,Wind speed_max,Wind speed_min,Total precipitation rate_max,Total precipitation rate_min,Temperature_max,Temperature_min,Snow precipitation rate_678,Rain precipitation rate_678,Average Surface Skin temperature_678,Wind speed_678,Total precipitation rate_678,Temperature_678
2000.0,6.5,4.4044632596863036e-07,4.54161375955664e-05,289.91625128851996,3.9823659949832493,4.5856631782549395e-05,289.5262842814127,5.067183868353216e-06,0.0,0.00010846094470859194,8.861021433403948e-06,302.03408203125,277.3478515625,5.463291676839193,2.962589470545451,0.00010846094470859194,8.960967655487669e-06,301.34677937825523,276.9355895996094,0.0,7.263353197938866e-05,300.3327582465278,3.393696053822836,7.263353197938866e-05,299.54403822157116
2001.0,6.5,3.4227822823220916e-07,4.454050030189036e-05,289.78637542724607,3.8070383866628013,4.488283273834288e-05,289.3730329725477,2.111263446143615e-06,0.0,0.0001249626666928331,1.420358324442835e-05,302.2773417154948,278.60630900065104,4.6414710203806555,2.9019578456878663,0.0001249626666928331,1.420358324442835e-05,301.4350992838542,278.4877888997396,0.0,9.38174658383812e-05,299.3938680013021,3.1347994380527076,9.38174658383812e-05,298.6820963541667
2002.0,6.5,6.613171206500586e-07,5.136805871693972e-05,289.857039557563,3.577271960841285,5.202938710782392e-05,289.5175330268012,7.106559102491398e-06,0.0,8.237902802648023e-05,2.1819375009120754e-05,300.36065673828125,279.4185811360677,4.592369572321574,3.018897517522176,8.237902802648023e-05,2.216214294700573e-05,299.6424499511719,279.288037109375,0.0,7.25418266989032e-05,299.5471035427517,3.1786152203877767,7.25418266989032e-05,298.8042249891493
2003.0,6.5,2.3023201021241427e-07,3.969684707954003e-05,289.66831393771696,3.5306574794981214,3.992709353042301e-05,289.25324605305985,2.027688174166542e-06,0.0,9.156709760039424e-05,1.2467473122039033e-05,302.37534790039064,276.4276448567708,4.229440832138062,2.70122709274292,9.156709760039424e-05,1.2492768776913484e-05,301.6083577473958,276.44597778320315,0.0,6.638038369904583e-05,300.63116183810763,2.925088045332167,6.638038369904583e-05,299.75194702148434
2004.0,6.5,1.1002851969017637e-06,3.762627753126758e-05,290.0010077582465,3.626024378670587,3.872658738449293e-05,289.618746609158,7.970833363894296e-06,0.0,6.907383455351616e-05,5.079677430330776e-06,302.41400349934895,276.74144287109374,4.198683977127075,2.975381851196289,6.907383455351616e-05,5.079677430330776e-06,301.54747721354164,276.71193440755206,0.0,4.8656502056271864e-05,300.40987887912326,3.235880406697591,4.8656502056271864e-05,299.66934950086807
2005.0,6.5,8.425838491020618e-07,4.440242676840475e-05,289.7079835679796,3.4576413604948253,4.524501198122581e-05,289.3443162706163,4.39056454411002e-06,0.0,8.621672071361294e-05,1.6877392530053232e-05,302.0669677734375,275.886757405599,4.310287157694499,2.8855299313863116,8.621672071361294e-05,1.6927849659017134e-05,301.4797383626302,275.8244120279948,0.0,6.659583571793822e-05,300.9750271267361,3.147431262334188,6.659583571793822e-05,300.30968899197046
2006.0,6.5,2.794686077648804e-07,4.3960574829624316e-05,290.3163908216688,3.4531089915169613,4.424005211250106e-05,289.94818047417533,2.3914516380803737e-06,0.0,9.986830700654536e-05,5.667069854098372e-06,302.3469930013021,278.6498494466146,4.1217552661895756,2.805739990870158,9.986830700654536e-05,5.667069854098372e-06,301.24468994140625,278.2690165201823,0.0,6.694199489882319e-05,300.824759250217,3.0477918995751274,6.694199489882319e-05,299.9167426215278
2007.0,6.5,2.7033180777236154e-08,4.6653420377475006e-05,290.4026545206705,3.5574287003941003,4.668044154590865e-05,290.1087483723958,1.1370967764416188e-07,0.0,0.00010495034948689863,8.956944323775436e-06,302.1846598307292,278.0952555338542,4.273536364237468,2.5739600817362467,0.00010495034948689863,8.956944323775436e-06,301.2556925455729,278.3853251139323,0.0,7.410412985740954e-05,300.51361490885415,3.0620647377438015,7.410412985740954e-05,299.6196248372396
2008.0,6.5,1.682782338945859e-06,4.430989034365969e-05,289.5117382473416,3.362836813926697,4.5992709894764835e-05,289.30989668104377,9.966935526032709e-06,0.0,0.00013217425051455697,1.0078118187569392e-05,302.41212768554686,275.7301005045573,4.182549142837525,2.4427531560262046,0.00013217425051455697,1.0835779661041063e-05,301.376670328776,276.5049540201823,0.0,8.851753664202989e-05,299.8274325900607,3.004554573694865,8.851753664202989e-05,299.0074652777778
2009.0,6.5,3.589691607864943e-07,4.711849912079439e-05,289.9127143012153,3.3667095621426903,4.747748617369829e-05,289.5700281778972,2.303467742118907e-06,0.0,9.670177387306466e-05,9.200268808247832e-06,300.8747517903646,276.67418009440104,3.9985177357991537,2.7762401580810545,9.670177387306466e-05,9.200268808247832e-06,300.09397989908854,276.9711853027344,0.0,9.022325377575019e-05,300.28980916341146,3.0564551618364124,9.022325377575019e-05,299.39997694227435
2010.0,6.5,1.3301206908653304e-06,4.9246739470416075e-05,289.3535825941299,3.455049026012421,5.0576886517066874e-05,289.05494333902993,8.522827344374189e-06,0.0,8.979564396819721e-05,4.8825278402849415e-06,302.82018229166664,278.1553161621094,4.4642196496327715,2.507869068781535,8.979564396819721e-05,4.8825278402849415e-06,301.7711669921875,278.29009806315105,0.0,6.927138399785488e-05,300.0094909667969,2.6587079524993897,6.927138399785488e-05,299.0845947265625
2011.0,6.5,4.800796030145371e-07,4.319064828766589e-05,289.38101671006933,3.360385235150655,4.367070324759779e-05,288.8601265801323,4.447473111213185e-06,0.0,0.0001498465280747041,4.100833340695923e-06,302.1741617838542,274.08612263997395,3.7668564160664877,3.0113928000132244,0.0001498465280747041,8.548010706969459e-06,300.88641560872395,273.9430867513021,0.0,0.00011783317038660041,300.08135782877605,3.0616802533467613,0.00011783317038660041,299.0589233398437
2012.0,6.5,8.254512656809728e-07,5.218658940672565e-05,289.3744905259875,3.619649381107754,5.30120228480276e-05,288.9966859605577,6.858440777553673e-06,0.0,8.543459698557853e-05,1.3651129120262339e-05,301.82530721028644,277.5668416341146,4.518526172637939,3.095060698191325,8.543459698557853e-05,1.3651129120262339e-05,300.811610921224,277.38856404622396,0.0,7.793084684332522e-05,300.363532172309,3.4492301358116997,7.793084684332522e-05,299.40317314995656
2013.0,6.5,2.6880344135375247e-07,4.011865050617619e-05,290.0447799682617,3.608968917528788,4.038745114990484e-05,289.8424647013346,3.0652380701212677e-06,0.0,9.24031381146051e-05,1.8127795798742832e-05,303.2900044759115,277.4943033854167,4.010443290074666,3.0482669989267985,9.24031381146051e-05,1.8231209590643024e-05,302.8057840983073,277.70872599283854,0.0,5.471741703028481e-05,301.15677151150174,3.356863525178697,5.471741703028481e-05,300.60227932400176
2014.0,6.5,3.669636459609679e-07,4.533136011812328e-05,289.8769712660048,3.5049670444594483,4.569832129467007e-05,289.53605448404943,4.369880955453395e-06,0.0,9.729833303329845e-05,5.163145245508834e-06,300.49395751953125,278.88417358398436,4.504564539591471,2.62868070602417,9.729833303329845e-05,5.180080734135117e-06,299.60956420898435,279.1546651204427,0.0,8.791261287923488e-05,299.03339979383685,2.905396911833021,8.791261287923488e-05,298.19605509440106
2015.0,6.5,1.830421151840758e-09,6.284028450964898e-05,290.0543184068468,3.9369894027709953,6.284211493847479e-05,289.95829349093975,2.1881720489262215e-08,0.0,0.0001657802766809861,2.45504572376376e-05,300.00059204101564,279.36952311197916,4.399960565567016,3.4631065368652343,0.0001657802766809861,2.4572338952566496e-05,299.6950419108073,279.58327229817706,0.0,0.00010723119436685616,299.15430433485244,3.958771965238783,0.00010723119436685616,298.7643351236979
2016.0,6.5,8.79518916662652e-09,6.467378137434329e-05,290.32952440049917,3.8413919793234936,6.468256297011977e-05,290.24485473632814,7.454301195012706e-08,0.0,0.00012653169493811827,1.8779798968656298e-05,301.94627075195314,277.91136067708334,4.340364138285319,3.2777841409047443,0.00012653169493811827,1.879025840025861e-05,301.4108601888021,278.0252665201823,0.0,8.175874597024328e-05,300.2366556803386,3.401421637005276,8.175874597024328e-05,299.76801215277777
2017.0,6.5,2.5313619965593324e-10,4.934160293083146e-05,290.7522793240017,3.570839248763191,4.9341853850314184e-05,290.80949130588107,3.037634395871199e-09,0.0,0.00010653866726594667,1.1630967856035568e-05,303.8007568359375,280.0022725423177,4.101858838399251,3.05146590868632,0.00010653866726594667,1.1630967856035568e-05,303.68260498046874,280.0116861979167,0.0,8.29365810204763e-05,301.335309516059,3.200426228841146,8.29365810204763e-05,301.14766981336805
2018.0,6.5,3.2782882305089817e-07,5.184950139967745e-05,291.2201811048719,3.5460118757353887,5.2177342392193786e-05,291.264555867513,2.3168817352351805e-06,0.0,0.00010477309212243805,2.4188958135103653e-05,303.0944417317708,277.9358622233073,4.403878116607666,2.8788225173950197,0.00010477309212243805,2.5443184373822684e-05,302.62843831380206,278.2480997721354,0.0,7.350340844520057e-05,301.7139763726129,3.8883131292131217,7.350340844520057e-05,301.2421556260851
